305	170	41
323	247	63
360	213	90
317	165	71
223	227	53
177	149	47
305	263	73
189	188	78
191	272	66
316	243	51
317	107	72
356	196	51
348	241	92
291	115	71
336	203	75
223	121	52
214	251	44
318	271	73
183	242	37
297	206	47
360	243	80
329	164	42
231	220	78
346	254	71
139	162	91
200	135	46
210	140	58
332	209	42
302	230	64
359	194	61
180	168	78
297	148	51
181	247	95
358	237	93
158	152	82
170	211	39
350	232	61
352	185	49
203	235	35
175	254	90
138	164	91
294	214	34
336	267	66
186	226	55
279	143	48
165	179	56
355	253	74
313	119	75
240	108	73
319	118	58
331	232	65
331	267	58
239	112	72
287	248	98
323	242	94
297	257	85
232	224	56
150	179	88
152	219	67
158	237	87
196	183	40
185	169	51
226	222	96
360	236	66
347	248	77
331	267	58
317	185	39
362	233	94
305	242	38
175	239	49
209	255	90
204	253	56
330	150	78
195	219	40
300	132	65
