226	123	48
68	111	47
36	134	73
55	183	37
174	180	44
233	154	82
196	166	14
231	101	83
95	167	26
42	109	58
52	135	53
97	170	59
86	153	38
106	162	55
194	152	68
183	174	10
62	170	18
214	170	83
95	165	57
182	168	29
67	143	41
78	130	21
82	168	31
187	147	30
69	98	36
70	138	23
209	187	37
85	167	73
203	174	19
176	178	77
88	82	41
198	140	15
219	153	37
68	196	63
94	79	67
58	94	50
196	162	59
191	187	74
95	132	16
45	126	34
195	166	15
214	126	26
226	94	61
221	93	62
97	160	73
81	168	53
155	148	17
102	136	76
222	174	67
185	180	33
54	88	50
122	131	85
208	195	61
27	151	70
46	105	43
214	148	45
210	189	51
73	105	31
183	193	64
82	191	57
182	125	34
173	140	22
175	85	46
54	131	38
93	76	66
227	93	66
105	163	58
97	123	22
94	150	11
218	123	51
67	143	34
29	94	78
109	147	84
195	171	33
239	118	74
211	111	53
48	79	79
80	75	50
36	118	62
104	168	52
94	171	11
224	153	44
46	102	57
101	165	49
184	172	39
198	183	78
214	156	69
39	101	71
198	183	53
30	104	72
219	154	78
216	133	27
170	187	57
96	143	17
48	176	41
46	135	58
211	140	78
84	157	46
77	170	64
182	94	42
92	182	83
172	145	85
177	192	72
58	180	40
75	122	44
89	138	30
101	165	66
38	95	73
181	174	76
219	161	51
183	80	53
197	153	23
67	74	74
86	77	44
182	168	27
79	75	74
94	77	65
186	181	32
68	191	58
190	170	58
61	172	21
218	158	41
48	149	32
215	107	61
196	140	32
98	73	69
58	171	40
226	165	47
205	167	60
189	175	70
106	162	54
80	116	52
49	122	35
53	117	44
173	186	61
222	161	73
223	106	62
173	169	10
185	105	43
206	147	43
194	162	21
106	67	68
83	193	35
99	151	30
192	169	37
225	135	39
44	174	50
212	155	51
185	76	40
194	96	40
81	73	49
174	66	57
204	187	80
205	99	62
47	139	41
223	127	69
98	153	22
172	124	16
204	140	24
93	151	35
68	173	34
89	154	9
219	118	50
169	156	19
193	173	23
179	66	55
216	168	71
235	152	83
173	189	52
217	72	91
108	168	51
48	132	36
96	173	43
86	97	47
101	153	17
218	102	73
174	149	17
70	112	43
202	192	69
224	143	40
47	123	54
24	141	68
189	146	73
206	175	77
58	171	26
176	183	30
99	157	74
214	178	53
48	141	54
65	147	68
199	191	49
196	174	27
90	153	44
85	116	42
225	88	82
80	169	55
234	146	60
227	127	37
64	96	49
56	167	51
57	146	24
93	96	42
224	95	70
66	195	62
73	125	38
64	88	40
219	176	65
53	165	62
205	118	60
206	131	79
77	187	66
34	115	61
178	161	20
219	97	53
75	102	45
85	168	15
220	122	29
215	168	70
90	143	10
209	159	72
80	176	17
35	138	58
222	101	47
88	163	28
217	162	52
91	147	21
38	179	58
183	196	54
100	154	16
85	164	16
80	171	23
170	151	11
88	100	43
66	141	55
59	175	49
96	144	19
28	127	75
167	118	20
195	146	22
174	160	7
42	113	65
50	168	71
205	176	76
229	95	85
198	192	48
86	102	31
85	144	19
182	168	48
66	135	53
71	153	18
203	107	58
65	87	49
195	118	25
65	67	78
54	82	53
200	186	43
101	161	79
209	101	57
45	105	44
33	154	70
218	124	50
32	135	59
195	131	38
70	125	29
55	161	52
44	179	72
209	168	20
187	81	44
94	150	34
80	129	41
182	192	70
81	112	41
40	142	40
180	151	22
178	178	31
174	171	18
59	145	43
172	175	30
85	127	33
39	161	42
196	181	21
189	80	47
67	117	61
96	182	29
38	114	66
64	133	17
183	184	40
92	154	7
68	151	28
179	156	6
203	139	23
75	147	31
183	152	25
37	134	74
209	182	28
74	102	46
191	120	39
180	90	49
203	140	31
164	129	17
